scientific_name,Temp_lit,Temp_Source,Sal_lit,Sal_Source,Prof_lit,Prof_Source
Lutjanus_argentiventris,[15-30],https://obis.org/taxon/276524,[25-40],https://obis.org/taxon/276524,[0-70],https://obis.org/taxon/276524
Peprilus_medius,[-5-30],https://obis.org/taxon/276561,[25-40],https://obis.org/taxon/276561,[0-300],https://obis.org/taxon/276561
Peprilus_snyderi,[20-30],https://obis.org/taxon/276564,[25-35],https://obis.org/taxon/276564,[20-300],https://obis.org/taxon/276564
Cephalopholis_panamensis,[20-30],https://obis.org/taxon/279152,[25-40],https://obis.org/taxon/279152,[0-30],https://obis.org/taxon/279152
Pocillopora_damicornis,[-5-30],https://obis.org/taxon/206953,[25-40],https://obis.org/taxon/206953,[0-200],https://waterworlds.info/marine-species/cauliflower-coral-pocillopora-damicornis/
Arothron_meleagris,[15-30],https://obis.org/taxon/219926,[25-40],https://obis.org/taxon/219926,[0-170],https://obis.org/taxon/219926
Epinephelus_labriformis,[15-30],https://obis.org/taxon/273858,[25-40],https://obis.org/taxon/273858,[0-130],https://obis.org/taxon/273858
Penaeus_brevirostris,[15-27],https://www.sealifebase.se/country/CountrySpeciesSummary.php?id=14597&c_code=218,[25-35],https://obis.org/taxon/584943,[10-450],https://www.nature.com/articles/s41598-024-71029-7
Sufflamen_verres,[-5-30],https://obis.org/taxon/276853,[25-35],https://obis.org/taxon/276853,[0-500],https://obis.org/taxon/276853
Stegastes_acapulcoensis,[15-20],https://obis.org/taxon/276658,[25-35],https://obis.org/taxon/276658,[0-30],https://obis.org/taxon/276658
Lepidochelys_olivacea,[5-30],https://obis.org/taxon/220293,[15-40],https://obis.org/taxon/220293,[0-544],https://www.int-res.com/articles/meps2006/323/m323p253.pdf
Abudefduf_troschelii,[20-30],https://obis.org/taxon/273702,[25-40],https://obis.org/taxon/273702,[0-90],https://obis.org/taxon/273702
Anadara_tuberculosa,[15-30],https://obis.org/taxon/504313,[25-35],https://obis.org/taxon/504313,[0-10],https://obis.org/taxon/504313
Holacanthus_passer,[15-30],https://obis.org/taxon/276016,[25-40],https://obis.org/taxon/276016,[0-90],https://obis.org/taxon/276016
Pocillopora_capitata,[20-30],https://obis.org/taxon/289246,[25-40],https://obis.org/taxon/289246,[0-70],https://obis.org/taxon/289246
Johnrandallia_nigrirostris,[15-30],https://obis.org/taxon/281202,[25-40],https://obis.org/taxon/281202,[0-70],https://obis.org/taxon/281202
Chelonia_mydas,[-5-30],https://obis.org/taxon/137206,[20-40],https://obis.org/taxon/137206,[0-300],https://obis.org/taxon/137206
Sphyrna_tiburo,[15-30],https://obis.org/taxon/158517,[15-40],https://obis.org/taxon/158517,[0-110],https://obis.org/taxon/158517
Scarus_ghobban,[15-30],https://obis.org/taxon/219127,[20-40],https://obis.org/taxon/219127,[0-170],https://obis.org/taxon/219127
Chaetodon_humeralis,[-5-30],https://obis.org/taxon/273343,[25-40],https://obis.org/taxon/273343,[0-300],https://obis.org/taxon/273343
Haemulon_maculicauda,[20-30],https://obis.org/taxon/275729,[25-40],https://obis.org/taxon/275729,[0-70],https://obis.org/taxon/275729
Acanthurus_xanthopterus,[15-30],https://obis.org/taxon/219634,[25-40],https://obis.org/taxon/219634,[0-170],https://obis.org/taxon/219634
Lutjanus_viridis,[15-30],https://obis.org/taxon/276552,[25-35],https://obis.org/taxon/276552,[0-500],https://obis.org/taxon/276552
Myripristis_leiognathus,[10-30],https://obis.org/taxon/276199,[25-40],https://obis.org/taxon/276199,[0-2000],https://obis.org/taxon/276199
Cirrhitichthys_oxycephalus,[15-30],https://obis.org/taxon/218853,[25-40],https://obis.org/taxon/218853,[0-110],https://obis.org/taxon/218853
Ophioblennius_steindachneri,[15-20],https://obis.org/taxon/273126,[25-40],https://obis.org/taxon/273126,[0-330],https://obis.org/taxon/273126
Canthigaster_punctatissima,[20-30],https://obis.org/taxon/275264,[25-40],https://obis.org/taxon/275264,[0-300],https://obis.org/taxon/275264
Pomadasys_panamensis,[20-30],https://obis.org/taxon/273509,[25-40],https://obis.org/taxon/273509,[0-70],https://obis.org/taxon/273509
Mulloidichthys_dentatus,[20-30],https://obis.org/taxon/277990,[25-40],https://obis.org/taxon/277990,[0-70],https://obis.org/taxon/277990
Pseudobalistes_naufragium,[20-30],https://obis.org/taxon/279161,[25-40],https://obis.org/taxon/279161,[0-70],https://obis.org/taxon/279161
Sargocentron_suborbitale,[20-30],https://obis.org/taxon/1021098,[25-40],https://obis.org/taxon/1021098,[0-3000],https://obis.org/taxon/1021098
Pavona_clavus,[-5-30],https://obis.org/taxon/207318,[25-40],https://obis.org/taxon/207318,[0-70],https://obis.org/taxon/207318
Diadema_mexicanum,[20-30],https://obis.org/taxon/513223,[25-35],https://obis.org/taxon/513223,[0-700],https://obis.org/taxon/513223
Hemicaranx_leucurus,[20-30],https://obis.org/taxon/276353,[25-35],https://obis.org/taxon/276353,[0-70],https://obis.org/taxon/276353
Brotula_clarkae,[-5-30],https://obis.org/taxon/275888,[25-35],https://obis.org/taxon/275888,[0-400],https://obis.org/taxon/275888
Acanthurus_triostegus,[15-30],https://obis.org/taxon/219630,[25-40],https://obis.org/taxon/219630,[0-170],https://obis.org/taxon/219630
Paranthias_colonus,[15-30],https://obis.org/taxon/282083,[25-40],https://obis.org/taxon/282083,[0-70],https://obis.org/taxon/282083
Chromis_atrilobata,[15-30],https://obis.org/taxon/273712,[25-40],https://obis.org/taxon/273712,[0-30],https://obis.org/taxon/273712
Arothron_hispidus,[10-30],https://obis.org/taxon/219925,[25-45],https://obis.org/taxon/219925,[0-500],https://obis.org/taxon/219925
Pavona_gigantea,[20-30],https://obis.org/taxon/289201,[25-40],https://obis.org/taxon/289201,[0-50],https://obis.org/taxon/289201
Litopenaeus_occidentalis,[21.3-28.6],https://www.sealifebase.se/summary/Penaeus-occidentalis.html,[25-35],https://obis.org/taxon/377456,[2-160],https://www.sealifebase.se/summary/Penaeus-occidentalis.html
Bodianus_diplotaenia,[15-20],https://obis.org/taxon/273527,[25-40],https://obis.org/taxon/273527,[0-60],https://obis.org/taxon/273527
Scarus_rubroviolaceus,[20-30],https://obis.org/taxon/219124,[25-40],https://obis.org/taxon/219124,[0-400],https://obis.org/taxon/219124
Fistularia_commersonii,[10-30],https://obis.org/taxon/217966,[25-40],https://obis.org/taxon/217966,[0-300],https://obis.org/taxon/217966
Coryphopterus_urospilus,[15-30],https://obis.org/taxon/276435,[25-40],https://obis.org/taxon/276435,[0-30},https://obis.org/taxon/276435
Stellifer_ericymba,[20-30],https://obis.org/taxon/276156,[25-35],https://obis.org/taxon/276156,[0-400],https://obis.org/taxon/276156
Plagiotremus_azaleus,[15-30],https://obis.org/taxon/278234,[25-35],https://obis.org/taxon/278234,[0-30],https://obis.org/taxon/278234
Cynoscion_spp.,[-5-30],https://obis.org/taxon/159304,[0-40],https://obis.org/taxon/159304,[0-300],https://obis.org/taxon/159304
Zanclus_cornutus,[15-30],https://obis.org/taxon/220083,[25-40],https://obis.org/taxon/220083,[0-400],https://obis.org/taxon/220083
Mugil_cephalus,[5-30],https://obis.org/taxon/126983,[10-40],https://obis.org/taxon/126983,[0-300],https://obis.org/taxon/126983
Myrichthys_tigrinus,[15-30],https://obis.org/taxon/275489,[30-40],https://obis.org/taxon/275489,[0-90],https://obis.org/taxon/275489
Lutjanus_novemfasciatus,[20-30],https://obis.org/taxon/276544,[25-40],https://obis.org/taxon/276544,[0-120],https://obis.org/taxon/276544
Lutjanus_inermis,[20-30],https://obis.org/taxon/276540,[25-35],https://obis.org/taxon/276540,[0-30],https://obis.org/taxon/276540
Hirsutodynomene_ursula,[20-30],https://obis.org/taxon/440135,[25-35],https://obis.org/taxon/440135,[0-170],https://obis.org/taxon/440135
Cyclopsetta_panamensis,[10-30],https://obis.org/taxon/275702,[25-35],https://obis.org/taxon/275702,[0-70],https://obis.org/taxon/275702
Stegastes_flavilatus,[20-30],https://obis.org/taxon/276668,[25-35],https://obis.org/taxon/276668,[0-30],https://obis.org/taxon/276668
Haemulopsis_leuciscus,[16-30},https://obis.org/taxon/280975,[25-35],https://obis.org/taxon/280975,[0-110],https://obis.org/taxon/280975
Conus_nux,[5-30],https://obis.org/taxon/428223,[25-40],https://obis.org/taxon/428223,[0-60],https://obis.org/taxon/428223
Lutjanus_guttatus,[15-30],https://obis.org/taxon/276539,[25-40],https://obis.org/taxon/276539,[0-170],https://obis.org/taxon/276539
Serranus_psittacinus,[-5-30],https://obis.org/taxon/273904,[25-40],https://obis.org/taxon/273904,[0-170],https://obis.org/taxon/273904
Ophichthus_zophochir,[10-30],https://obis.org/taxon/271991,[25-40],https://obis.org/taxon/271991,[0-160],https://obis.org/taxon/271991
Anadara_similis,[20-30],https://obis.org/taxon/504295,[25-35],https://obis.org/taxon/504295,[0-10],https://obis.org/taxon/504295
Calcinus_obscurus,[15-30],https://obis.org/taxon/367450,[25-35],https://obis.org/taxon/367450,[0-10],https://obis.org/taxon/367450
Pseudobatos_leucorhynchus,[15-30],https://obis.org/taxon/1043484,[25-40],https://obis.org/taxon/1043484,[0-70],https://obis.org/taxon/1043484
Remora_remora,[5-30],https://obis.org/taxon/126853,[20-40],https://obis.org/taxon/126853,[0-4000],https://obis.org/taxon/126853
Sphyrna_corona,[25-30],https://obis.org/taxon/271377,[25-35],https://obis.org/taxon/271377,[0-40],https://obis.org/taxon/271377
Penaeus_californiensis,[15-30],https://obis.org/taxon/584944,[25-40],https://obis.org/taxon/584944,[0-500],https://obis.org/taxon/584944
Polydactylus_opercularis,[25-30],https://obis.org/taxon/276597,[30-35],https://obis.org/taxon/276597,[0-45],https://biogeodb.stri.si.edu/sftep/es/thefishes/species/1403
Stellifer_melanocheir,[25-30],https://obis.org/taxon/276162,[25-30],https://obis.org/taxon/276162,[10-20],https://obis.org/taxon/276162
Halichoeres_nicholsi,[20-30],https://obis.org/taxon/275780,[25-40],https://obis.org/taxon/275780,[0-30],https://obis.org/taxon/275780
Lutjanus_peru,[15-20],https://obis.org/taxon/276546,[25-40],https://obis.org/taxon/276546,[0-90],https://obis.org/taxon/276546
Nerita_funiculata,[5-30],https://obis.org/taxon/575247,[25-40],https://obis.org/taxon/575247,[0-20],https://obis.org/taxon/575247
Macrocypraea_cervinetta,[20-30],https://obis.org/taxon/578043,[25-40],https://obis.org/taxon/578043,[0-30],https://obis.org/taxon/578043
Scurria_stipulata,[25-30],https://obis.org/taxon/575206,[30-35],https://obis.org/taxon/575206,[0-20],https://obis.org/taxon/575206
Gobiesox_adustus,[20-30],https://obis.org/taxon/275663,[25-40],https://obis.org/taxon/275663,[0-20],https://obis.org/taxon/275663
Trichiurus_lepturus,[-5-30],https://obis.org/taxon/127089,[5-40],https://obis.org/taxon/127089,[0-5000],https://obis.org/taxon/127089
Diapterus_brevirostris,[20-30],https://obis.org/taxon/398538,[25-35],https://obis.org/taxon/398538,[0-20],https://obis.org/taxon/398538
Synodus_scituliceps,[-5-30],https://obis.org/taxon/272139,[25-40],https://obis.org/taxon/272139,[0-300],https://obis.org/taxon/272139
Ophiothrix_spiculata,[5-30],https://obis.org/taxon/245237,[25-40],https://obis.org/taxon/245237,[0-2000],https://obis.org/taxon/245237
Polystira_oxytropis,[5-30],https://obis.org/taxon/434714,[25-40],https://obis.org/taxon/434714,[0-90],https://obis.org/taxon/434714
Stellifer_zestocarus,[20-30],https://obis.org/taxon/276173,[25-40],https://obis.org/taxon/276173,[0-60],https://obis.org/taxon/276173
Sphoeroides_trichocephalus,[10-30],https://obis.org/taxon/275285,[25-40],https://obis.org/taxon/275285,[0-60],https://obis.org/taxon/275285
Apogon_dovii,[15-30],https://obis.org/taxon/273009,[25-40],https://obis.org/taxon/273009,[0-70],https://obis.org/taxon/273009
Muraena_clepsydra,[25-30],https://obis.org/taxon/271898,[25-35],https://obis.org/taxon/271898,[0-80],https://obis.org/taxon/271898
Occidentarius_platypogon,[15-30],https://obis.org/taxon/293656,[30-40],https://obis.org/taxon/293656,[0-300],https://obis.org/taxon/293656
Haemulon_steindachneri,[15-30],https://obis.org/taxon/275738,[20-40],https://obis.org/taxon/275738,[0-90],https://obis.org/taxon/275738
Oligoplites_refulgens,[20-30],https://obis.org/taxon/276358,[25-40],https://obis.org/taxon/276358,[0-40],https://obis.org/taxon/276358
Fowlerichthys_avalonis,[-5-30],https://obis.org/taxon/712506,[25-40],https://obis.org/taxon/712506,[0-400],https://obis.org/taxon/712506
Thoe_erosa,[15-30],https://obis.org/taxon/442141,[25-40],https://obis.org/taxon/442141,[0-170],https://obis.org/taxon/442141
Tubastraea_coccinea,[10-30],https://obis.org/taxon/291251,[25-40],https://obis.org/taxon/291251,[0-50],https://obis.org/taxon/291251
Echinometra_vanbrunti,[10-30],https://obis.org/taxon/513244,[25-35],https://obis.org/taxon/513244,[0-60],https://obis.org/taxon/513244
Caranx_caninus,[15-30],https://obis.org/taxon/273272,[25-30],https://obis.org/taxon/273272,[0-160],https://obis.org/taxon/273272
Supplanaxis_planicostatus,[15-30],https://obis.org/taxon/1465722,[25-40],https://obis.org/taxon/1465722,[0-20],https://obis.org/taxon/1465722
Myripristis_berndti,[20-30],https://obis.org/taxon/217927,[25-40],https://obis.org/taxon/217927,[0-160],https://obis.org/taxon/217927
Platyactaea_dovii,[20-30],https://obis.org/taxon/444058,[25-35],https://obis.org/taxon/444058,[0-140],https://obis.org/taxon/444058
Scomber_japonicus,[0-30],https://obis.org/taxon/127022,[15-40],https://obis.org/taxon/127022,[0-3000],https://obis.org/taxon/127022
Vasula_melones,[20-30],https://obis.org/taxon/714223,[25-35],https://obis.org/taxon/714223,[0-30],https://obis.org/taxon/714223
Nerita_scabricosta,[15-30],https://obis.org/taxon/575248,[25-40],https://obis.org/taxon/575248,[0-20],https://obis.org/taxon/575248
Narcine_entemedor,[15-30],https://obis.org/taxon/275389,[25-40],https://obis.org/taxon/275389,[0-300],https://obis.org/taxon/275389
Thalassoma_lucasanum,[15-30],https://obis.org/taxon/273584,[25-40],https://obis.org/taxon/273584,[0-70],https://obis.org/taxon/273584
Lophiodes_caulinaris,[-5-30],https://obis.org/taxon/278525,[25-40],https://obis.org/taxon/278525,[0-400],https://obis.org/taxon/278525
Dictyocha_fibula,[-5-30],https://obis.org/taxon/157463,[0-40],https://obis.org/taxon/157463,[0-5000],https://obis.org/taxon/157463
Haemulopsis_nitidus,[20-30],https://obis.org/taxon/280976,[25-40],https://obis.org/taxon/280976,[0-60],https://obis.org/taxon/280976
Acanthurus_nigricans,[20-30],https://obis.org/taxon/219638,[30-40],https://obis.org/taxon/219638,[0-60],https://obis.org/taxon/219638
Tegula_panamensis,[20-30],https://obis.org/taxon/575634,[25-40],https://obis.org/taxon/575634,[0-20],https://obis.org/taxon/575634
Muraena_lentiginosa,[15-30],https://obis.org/taxon/271900,[25-40],https://obis.org/taxon/271900,[0-20],https://obis.org/taxon/271900
Centrostephanus_coronatus,[10-30],https://obis.org/taxon/513165,[25-40],https://obis.org/taxon/513165,[0-180],https://obis.org/taxon/513165
Chloroscombrus_orqueta,[15-30],https://obis.org/taxon/276245,[25-40],https://obis.org/taxon/276245,[0-300],https://obis.org/taxon/276245
Achirus_mazatlanus,[15-30],https://obis.org/taxon/279494,[25-40],https://obis.org/taxon/279494,[0-400],https://obis.org/taxon/279494
Psammocora_stellata,[20-30],https://obis.org/taxon/287784,[25-40],https://obis.org/taxon/287784,[0-500],https://obis.org/taxon/287784
Aluterus_monoceros,[10-30],https://obis.org/taxon/127407,[20-45],https://obis.org/taxon/127407,[0-600],https://obis.org/taxon/127407
Chondrochelia_dubia,[5-30],https://obis.org/taxon/880865,[20-40],https://obis.org/taxon/880865,[0-400],https://obis.org/taxon/880865
Harpiliopsis_depressa,[20-30],https://obis.org/taxon/220131,[25-40],https://obis.org/taxon/220131,[0-60],https://obis.org/taxon/220131
Symphurus_oligomerus,[-5-30],https://obis.org/taxon/274264,[25-40],https://obis.org/taxon/274264,[0-400],https://obis.org/taxon/274264
Cynoponticus_coniceps,[20-30],https://obis.org/taxon/271797,[25-40],https://obis.org/taxon/271797,[0-70],https://obis.org/taxon/271797
Selene_brevoortii,[15-30],https://obis.org/taxon/273283,[25-35],https://obis.org/taxon/273283,[0-90],https://obis.org/taxon/273283
Echinolittorina_modesta,[15-30],https://obis.org/taxon/446865,[25-35],https://obis.org/taxon/446865,[0-20],https://obis.org/taxon/446865
Lutjanus_colorado,[10-30],https://obis.org/taxon/276529,[25-35],https://obis.org/taxon/276529,[0-70],https://obis.org/taxon/276529
Daector_dowi,[20-30],https://obis.org/taxon/280479,[25-40],https://obis.org/taxon/280479,[0-60],https://obis.org/taxon/280479
Sphoeroides_annulatus,[15-30],https://obis.org/taxon/275272,[25-40],https://obis.org/taxon/275272,[0-500],https://obis.org/taxon/275272
Deckertichthys_aureolus,[20-30],https://obis.org/taxon/1043458,[25-35],https://obis.org/taxon/1043458,[0-200],https://obis.org/taxon/1043458
Alphestes_immaculatus,[15-30],https://obis.org/taxon/279568,[25-40],https://obis.org/taxon/279568,[0-20],https://obis.org/taxon/279568
Diodon_holocanthus,[-5-30],https://obis.org/taxon/127402,[25-40],https://obis.org/taxon/127402,[0-500],https://obis.org/taxon/127402
Ariosoma_prorigerum,[15-30],https://obis.org/taxon/712431,[25-40],https://obis.org/taxon/712431,[140-800],https://obis.org/taxon/712431
Caulolatilus_affinis,[10-30],https://obis.org/taxon/276211,[25-40],https://obis.org/taxon/276211,[0-600],https://obis.org/taxon/276211
Lepophidium_prorates,[15-30],https://obis.org/taxon/275626,[25-40],https://obis.org/taxon/275626,[0-190],https://obis.org/taxon/275626
Porichthys_margaritatus,[-5-30],https://obis.org/taxon/275655,[25-40],https://obis.org/taxon/275655,[0-800],https://obis.org/taxon/275655
Solenocera_agassizii,[20-30],https://obis.org/taxon/377658,[25-35],https://obis.org/taxon/377658,[20-500],https://obis.org/taxon/377658
Gnathanodon_speciosus,[-5-30],https://obis.org/taxon/218429,[20-40],https://obis.org/taxon/218429,[0-600],https://obis.org/taxon/218429
Menticirrhus_elongatus,[15-30],https://obis.org/taxon/276145,[25-35],https://obis.org/taxon/276145,[0-60],https://obis.org/taxon/276145
Pristigenys_serrula,[-5-30],https://obis.org/taxon/276037,[25-40],https://obis.org/taxon/276037,[0-200],https://obis.org/taxon/276037
Pomacanthus_zonipectus,[15-30],https://obis.org/taxon/276028,[25-40],https://obis.org/taxon/276028,[0-90],https://obis.org/taxon/276028
Pantomus_affinis,[25-30],https://obis.org/taxon/514363,[25-35],https://obis.org/taxon/514363,[60-500],https://obis.org/taxon/514363
Tripos_macroceros,[-5-30],https://obis.org/taxon/841260,[5-40],https://obis.org/taxon/841260,[0-3000],https://obis.org/taxon/841260
Diplectrum_eumelum,[-5-30],https://obis.org/taxon/276178,[25-35],https://obis.org/taxon/276178,[10-300],https://obis.org/taxon/276178
Malea_ringens,[15-30],https://obis.org/taxon/410241,[25-40],https://obis.org/taxon/410241,[0-160],https://obis.org/taxon/410241
Tripos_furca,[-5-30],https://obis.org/taxon/840627,[0-40],https://obis.org/taxon/840627,[0-4000],https://obis.org/taxon/840627
Sargocentron_suborbitalis,[20-30],https://obis.org/taxon/272219,[25-40],https://obis.org/taxon/272219,[0-30],https://obis.org/taxon/272219
Symphurus_callopterus,[-5-30],https://obis.org/taxon/274237,[25-35],https://obis.org/taxon/274237,[0-300],https://obis.org/taxon/274237
Ficus_ventricosa,[20-30],https://obis.org/taxon/527724,[25-40],https://obis.org/taxon/527724,[0-80],https://obis.org/taxon/527724
Bagre_panamensis,[15-30],https://obis.org/taxon/275588,[25-40],https://obis.org/taxon/275588,[0-80],https://obis.org/taxon/275588
Ctenochaetus_marginatus,[20-30],https://obis.org/taxon/219657,[25-40],https://obis.org/taxon/219657,[0-600],https://obis.org/taxon/219657
Selar_crumenophthalmus,[5-30],https://obis.org/taxon/159646,[15-40],https://obis.org/taxon/159646,[0-600],https://obis.org/taxon/159646
Raja_equatorialis,[20-30],https://obis.org/taxon/271576,[25-40],https://obis.org/taxon/271576,[0-100],https://obis.org/taxon/271576
Bagre_pinnimaculatus,[15-30],https://obis.org/taxon/275589,[25-40],https://obis.org/taxon/275589,[0-300],https://obis.org/taxon/275589
Rhizoprionodon_longurio,[5-30],https://obis.org/taxon/271327,[30-40],https://obis.org/taxon/271327,[0-300],https://obis.org/taxon/271327
Polystira_nobilis,[5-30],https://obis.org/taxon/434713,[25-40],https://obis.org/taxon/434713,[0-160],https://obis.org/taxon/434713
Pseudo_nitzschia,[-5-35],https://obis.org/taxon/149151,[0-40],https://obis.org/taxon/149151,[0-4000],https://obis.org/taxon/149151
Diplectrum_pacificum,[15-30],https://obis.org/taxon/276183,[25-40],https://obis.org/taxon/276183,[0-300],https://obis.org/taxon/276183
Vasula_speciosa,[15-30],https://obis.org/taxon/714222,[25-40],https://obis.org/taxon/714222,[0-20],https://obis.org/taxon/714222
Trapezia_bidentata,[20-30],https://obis.org/taxon/443875,[25-40],https://obis.org/taxon/443875,[0-54],https://www.sealifebase.se/summary/Trapezia-bidentata.html
Turbo_saxosus,[20-30],https://obis.org/taxon/413422,[25-40],https://obis.org/taxon/413422,[0-20],https://obis.org/taxon/413422
Tripos_fusus,[-5-35],https://obis.org/taxon/840626,[0-40],https://obis.org/taxon/840626,[0-4000],https://obis.org/taxon/840626
Rypticus_bicolor,[20-30],https://obis.org/taxon/275957,[25-40],https://obis.org/taxon/275957,[0-80],https://obis.org/taxon/275957
Hemanthias_signifer,[15-30],https://obis.org/taxon/275931,[25-40],https://obis.org/taxon/275931,[0-300],https://obis.org/taxon/275931
Stellifer_fuerthii,[20-30],https://obis.org/taxon/276157,[25-40],https://obis.org/taxon/276157,[0-60],https://obis.org/taxon/276157
Balistes_polylepis,[10-30],https://obis.org/taxon/275234,[25-40],https://obis.org/taxon/275234,[0-400],https://obis.org/taxon/275234
Xiphopenaeus_riveti,[10-30],https://www.sciencedirect.com/science/article/pii/S2352485525000507#fig0010,[25-35],https://obis.org/taxon/585446,[2-80],https://www.nature.com/articles/s41598-024-71029-7
Halichoeres_dispilus,[15-30],https://obis.org/taxon/275763,[25-40],https://obis.org/taxon/275763,[0-40],https://obis.org/taxon/275763
Rhizophora_mangle,[20-30],https://obis.org/taxon/235094,[5-40],https://obis.org/taxon/235094,[0-10],https://obis.org/taxon/235094
Galeropsis_monodonta,[15-30],https://obis.org/taxon/724109,[30-40],https://obis.org/taxon/724109,[0-70],https://obis.org/taxon/724109
Larimus_acclivis,[20-30],https://obis.org/taxon/276127,[25-35],https://obis.org/taxon/276127,[0-50],https://obis.org/taxon/276127
Paralonchurus_dumerilii,[20-30],https://obis.org/taxon/282064,[25-35],https://obis.org/taxon/282064,[0-40],https://obis.org/taxon/282064
Alphestes_multiguttatus,[20-30],https://obis.org/taxon/279569,[25-35],https://obis.org/taxon/279569,[0-300],https://obis.org/taxon/279569
Bostrycapulus_aculeatus,[10-30],https://obis.org/taxon/419700,[25-40],https://obis.org/taxon/419700,[0-160],https://obis.org/taxon/419700
Nasolamia_velox,[10-30],https://obis.org/taxon/281637,[25-40],https://obis.org/taxon/281637,[0-80],https://obis.org/taxon/281637
Polydactylus_approximans,[10-30],https://obis.org/taxon/276587,[25-40],https://obis.org/taxon/276587,[0-70],https://obis.org/taxon/276587
Acanthais_triangularis,[15-30],https://obis.org/taxon/714166,[25-35],https://obis.org/taxon/714166,[0-20],https://obis.org/taxon/714166
Kathetostoma_averruncus,[5-30],https://obis.org/taxon/275989,[25-40],https://obis.org/taxon/275989,[0-400],https://obis.org/taxon/275989
